Theta,Alpha,Spatial Frequency,Visibilities Squared,Expected Value,Chi-Squared Value
1.35,0.01,124.25656622983755,0.09204271709958937,0.1439347428418819,0.01870835548438003
1.35,0.01,124.82463426918984,0.08874629743870918,0.1408123571801042,0.019251680969499054
1.35,0.01,125.39778807374881,0.08584874356975597,0.1377008142125444,0.019525209384708125
1.35,0.01,125.97609620197376,0.08390050569276927,0.1346008222913155,0.01909737295385508
1.35,0.01,126.55963742769964,0.08106537250143289,0.13151305743275551,0.019351454255645106
1.35,0.01,127.14847400295673,0.07656364499031974,0.1284383053391655,0.020951540735468836
1.35,0.01,127.74267828804871,0.07342454153921327,0.12537731911824523,0.02152774614386844
1.35,0.01,128.3423331999455,0.07174168543140332,0.12233082027836381,0.020920815856056183
1.35,0.01,128.94749540094026,0.06915836952084377,0.11929968526244297,0.021074251275415814
1.35,0.01,129.55826927897922,0.06706379368842036,0.11628457310445559,0.020834106035249905
1.35,0.01,130.1747047231763,0.06367124157292962,0.11328643583826406,0.021729587340017745
1.35,0.01,130.79689994098575,0.06138382840024447,0.11030600941848873,0.021697637401618272
1.35,0.01,131.42492631279052,0.059164684756347355,0.10734418266081325,0.021624497581402956
1.35,0.01,132.0588759221565,0.05726588519912262,0.10440176797077103,0.021281166859977007
1.35,0.01,132.69882304956582,0.05663244227884962,0.10147968293734078,0.019819484417609935
1.35,0.01,133.3448531577338,0.054838895930076174,0.09857881397533762,0.019407622727991288
1.35,0.01,133.99705334085593,0.05126570834042624,0.09570006171415679,0.020631248552784236
1.35,0.01,134.65552252660194,0.05056422733855037,0.09284429709226263,0.01925378676304016
1.35,0.01,135.3203412289329,0.04735050612680241,0.09001249288443566,0.02021991676694452
1.35,0.01,135.9916120457403,0.045872533720142106,0.08720554800269055,0.019590703903708557
1.35,0.01,132.15722408358184,0.058013328430843475,0.10394955203027281,0.020299622243318976
1.35,0.01,132.73149534948942,0.05725910072538716,0.10133179359019677,0.019168734585033098
1.35,0.01,133.3106460360383,0.05452612352554638,0.09873118171333216,0.01979199616043547
1.35,0.01,133.8947475087517,0.051543976294978436,0.0961483248463298,0.020692486456423024
1.35,0.01,134.4838544444507,0.049848655006429814,0.09358391955508388,0.020439124309330634
1.35,0.01,135.0780314145755,0.04976304664962753,0.09103863138724828,0.018713746784984553
1.35,0.01,135.67734410598572,0.04866504100355784,0.08851313453425896,0.01793937777016495
1.35,0.01,136.28186862514656,0.04516712814336009,0.08600807351683602,0.019393328449250045
1.35,0.01,136.89166384942533,0.04316924284595671,0.08352417800545742,0.019497597349848805
1.35,0.01,137.50680841050973,0.041936136715577346,0.08106210948087753,0.01888480024310415
1.35,0.01,138.12735389897236,0.04020704095597318,0.07862264997309626,0.018770151052673184
1.35,0.01,138.75339094091728,0.03882870096791359,0.07620643912470182,0.01833303492151444
1.35,0.01,139.384992713422,0.036520960778678634,0.07381419946428629,0.01884170880068422
1.35,0.01,140.02222390311533,0.03564238221568966,0.07144669650739502,0.017942731918564346
1.35,0.01,140.66516005768722,0.03263337567418117,0.06910466515952501,0.019248410417055776
1.35,0.01,141.31387808269406,0.03159605476462102,0.06678884647075334,0.018544003280750863
1.35,0.01,141.96846634280527,0.029667320815660727,0.06449995237978523,0.01881105608478408
1.35,0.01,142.6289946693308,0.02784736907853604,0.062238770652061626,0.019003725327475116
1.35,0.01,143.29554423255172,0.026178089781263597,0.06000605821578983,0.019070265277084754
1.35,0.01,143.96820804470553,0.02527309983355092,0.05780254276502389,0.01830654166432707
1.35,0.01,144.64704966680594,0.023218655075310717,0.055629056844107766,0.01888283214577104
1.35,0.01,145.33218619619095,0.022322634335713534,0.05348626941855303,0.018157410530477373
1.35,0.01,146.02367359605017,0.02104770178699371,0.051375050525013434,0.017902621449095425
1.35,0.01,146.72162203074524,0.019385033036168876,0.04929610812529728,0.01814894617468511
1.35,0.01,147.42611157132953,0.018613916479441855,0.04725024875595824,0.0173552425191761
1.35,0.01,148.13724551268365,0.017441800720988457,0.04523821618007589,0.017079380612591136
1.35,0.01,148.85510717905169,0.01665159451338531,0.04326081611402009,0.016367020731313058
1.35,0.01,149.579792438365,0.015332631113667198,0.04131882146290863,0.016343207888279202
1.35,0.01,150.3113989886701,0.014680235253005318,0.03941300307338098,0.015520507354329223
1.35,0.01,151.0500378022315,0.013412762857910356,0.03754410037832792,0.015510331707413977
1.35,0.01,151.79579919570781,0.011742756282339615,0.035712906824781336,0.01608852843724902
1.35,0.01,152.54879825844037,0.010905405768283742,0.03392015404527482,0.015615454975418944
1.35,0.01,140.44670106294924,0.033865856288310674,0.06989520473059206,0.01857228910307719
1.35,0.01,141.05699312508392,0.03295292145360488,0.06770022102000856,0.017834134201726783
1.35,0.01,141.67247066638492,0.031080426626786877,0.06552901797891038,0.018109617429754903
1.35,0.01,142.29320952873215,0.02857762030597082,0.06338219269799954,0.019111965172359847
1.35,0.01,142.91926781851512,0.02700207543590401,0.061260412165599576,0.01915810870342553
1.35,0.01,143.55071415737606,0.024654113674139718,0.059164313626198256,0.020129598870284208
1.35,0.01,144.1876183523408,0.024459851081155885,0.05709453751105953,0.018653671696208
1.35,0.01,144.83006128360356,0.023501894811688778,0.055051696004344626,0.018081004356660574
1.35,0.01,145.47810552157668,0.02225874103592167,0.05303646648089271,0.01786069937195547
1.35,0.01,146.1318346300701,0.0206438980108264,0.05104946617506471,0.018109857842974208
1.35,0.01,146.79130343564177,0.01924953238668422,0.049091404601313594,0.01814039228469009
1.35,0.01,147.45660824886005,0.017499902586475952,0.04716287145091915,0.01865644933787802
